img_i,img_j,gaia_a,gaia_b,theta_deg,s_est,tx,ty,n_k_passed,similarity,vote
62,27,17,59,-117.09,1.01186,3790.16,-5852.91,1,0,1
10,65,31,32,159.178,0.927744,796.725,-64.7796,1,0,1
10,65,10,65,-30.003,0.982181,49.9226,-30.549,8,0.666667,5
53,64,60,73,138.499,0.907718,1000.83,1110.86,1,0,1
62,48,37,75,144.611,0.932162,4773.21,-253.253,2,0,1
62,48,3,76,-32.4156,0.925964,4084.65,-2576.57,1,0,1
36,64,42,51,-73.2062,0.986623,-1656.39,-3194.55,1,0,1
36,64,57,58,102.941,0.902698,-3547.69,-5073.02,1,0,1
18,30,18,30,-30.0002,0.982268,49.8053,-30.008,8,0.333333,3
2,24,2,24,-30.0011,0.982337,49.3482,-30.4081,7,0.833333,6
24,76,24,76,-30.0042,0.982461,48.6371,-30.0263,4,0.833333,3
9,21,9,21,-29.9957,0.982184,49.8528,-31.4643,8,0.5,4
43,95,43,95,-30.0061,0.982164,50.2225,-30.221,7,0.5,4
46,83,46,83,-29.9909,0.982387,49.9203,-29.5308,8,0.666667,5
59,72,59,72,-30.0073,0.982718,47.2767,-30.5722,7,1,7
65,77,65,77,-30.0198,0.981932,50.1599,-29.6516,8,1,8
23,35,23,35,-30.0018,0.981057,50.5832,-33.8838,7,0.666667,5
21,62,21,62,-30.0098,0.982178,49.0508,-30.788,5,0.333333,2
17,29,17,29,-30.0037,0.982267,50.1557,-29.8655,8,0.666667,5
10,27,10,27,-30.0092,0.98225,49.2062,-30.3509,9,0.166667,2
13,24,13,24,-29.9947,0.982298,50.0052,-30.1872,7,0.333333,2
12,92,12,92,-30.0068,0.982022,49.0529,-30.4231,8,0,1
23,67,23,67,-30.0184,0.982187,48.3899,-30.0425,10,0.5,5
72,75,72,75,-30.0126,0.982192,50.9617,-30.8943,6,1,6
32,48,32,48,-29.9862,0.982637,48.9499,-28.1902,7,0.5,4
9,54,9,54,-30.0053,0.982352,50.3024,-30.1205,6,0.666667,4
11,50,11,50,-29.9955,0.981897,52.6889,-29.005,8,0.5,4
35,49,35,49,-30.0109,0.981461,50.0683,-32.7315,9,0.666667,6
46,78,46,78,-29.9942,0.982299,50.197,-29.889,6,0.166667,1
46,74,46,74,-29.9946,0.982322,50.0904,-29.8843,9,0.333333,3
27,55,27,55,-29.9903,0.982239,49.3937,-29.2006,6,0,1
83,92,83,92,-29.9981,0.982287,50.076,-29.17,7,0.5,4
76,91,76,91,-29.9892,0.98241,48.7683,-29.8733,8,1,8
64,91,64,91,-30.0021,0.982248,49.1729,-29.3121,5,0.5,3
